hindi_length,chinese_length,chinese_char_count,length_ratio,hindi_avg_word_length,chinese_avg_char_length,embedding_similarity,labse_similarity,chinese_perplexity,chinese_fluency,embedding_labse_interaction,similarity_diff,similarity_ratio,char_alignment,length_similarity_interaction,length_perplexity_interaction,length_perplexity_ratio,punctuation_count_hi,punctuation_count_zh,digit_count_hi,punctuation_ratio_hi,punctuation_ratio_zh,vocab_diversity_hi,vocab_diversity_zh,ccmatrix_score
40,15,11,2.5,4.0,1.25,0.7171824,0.7210258,72.04715691776683,0.013689786737706364,0.517107,0.0038434267,0.9946695,0.05714285714285714,1.792955994606018,1080.7073537665024,0.2081969731996327,0,0,2,0.0,0.0,0.9,0.8125,1.0725569
48,10,10,4.363636363636363,4.8,0.9090909090909091,0.6848682,0.45398194,53.6160380085957,0.018309640106860477,0.3109178,0.23088628,1.5085803,0.0,2.988515853881836,536.1603800859571,0.18651135685429965,0,0,0,0.0,0.0,0.9,0.8181818181818182,1.0601604
24,12,2,1.8461538461538463,8.0,4.0,0.44879642,0.8529905,124.18899065087975,0.007987922858078996,0.3828191,0.4041941,0.5261447,0.2727272727272727,0.8285472393035889,1490.2678878105569,0.09662692269372047,2,0,0,0.08,0.0,0.6666666666666666,0.7692307692307693,1.0690519
43,15,8,2.6875,5.375,1.6666666666666667,0.78984797,0.7937359,173.57553642361438,0.005728179448771452,0.6269307,0.0038879514,0.9951017,0.15625,2.1227164193987846,2603.633046354216,0.08641770786482283,3,2,4,0.06818181818181818,0.125,0.875,0.875,1.0600702
48,10,9,4.363636363636363,6.857142857142857,1.0,0.6415335,0.7003081,30.388490371177255,0.031858811563561476,0.44927108,0.05877459,0.91607326,0.0,2.7994188828901807,303.88490371177255,0.3290719569996816,0,0,0,0.0,0.0,0.8571428571428571,0.9090909090909091,1.060102
66,21,15,3.0,4.4,1.3125,0.5601501,0.3819392,125.25167669326528,0.00792068688663478,0.21394327,0.17821088,1.4665949,0.0,1.6804502606391907,2630.2852105585707,0.16766242618652732,0,0,0,0.0,0.0,0.9333333333333333,0.9090909090909091,1.0783757
28,8,7,3.111111111111111,4.666666666666667,1.0,0.81263435,0.58724505,177.69294787323278,0.005596191746242911,0.4772155,0.2253893,1.3838079,0.0,2.528195752037896,1421.5435829858623,0.04502148281797336,0,0,0,0.0,0.0,0.8333333333333334,0.8888888888888888,1.0642287
89,29,26,2.966666666666667,4.684210526315789,1.0740740740740742,0.24553129,0.12905315,21.294357164942188,0.04485439937117797,0.031686585,0.116478145,1.9025593,0.0,0.7284094959497452,617.5363577833234,1.361863134057191,4,0,0,0.044444444444444446,0.0,0.8421052631578947,0.6666666666666666,1.0866817
39,15,14,2.4375,4.333333333333333,1.0,0.32853174,0.44703093,149.07767626702628,0.006663216174940943,0.14686385,0.11849919,0.7349195,0.0,0.8007961213588715,2236.1651440053943,0.10061868667798375,0,0,0,0.0,0.0,0.8888888888888888,0.9375,1.0606064
116,39,24,2.9,4.461538461538462,1.56,0.86468214,0.77390945,190.53855540514758,0.005220880975554883,0.6691857,0.09077269,1.1172911,0.11764705882352941,2.5075782001018525,7431.003660800756,0.2046829835306894,3,2,3,0.02564102564102564,0.05,0.8461538461538461,0.875,1.0615655
85,18,14,4.473684210526316,3.8636363636363638,1.2,0.28105792,0.30435717,191.18481639943585,0.00520332468888492,0.08554199,0.023299247,0.92344767,0.0,1.2573643969862085,3441.3266951898454,0.0941497360410239,2,0,0,0.023255813953488372,0.0,0.9545454545454546,0.9473684210526315,1.065515
20,15,5,1.25,4.0,2.5,0.5900818,0.7702599,198.7825537535823,0.005005442072952123,0.45451638,0.1801781,0.7660814,0.3,0.7376022636890411,2981.7383063037346,0.07545933843791906,3,3,0,0.14285714285714285,0.1875,0.8,0.75,1.0868374
101,31,24,3.15625,4.809523809523809,1.24,0.8970353,0.7233623,25.93355032886577,0.03712841373638958,0.64888155,0.17367297,1.2400912,0.04918032786885246,2.8312676679342985,803.9400601948389,1.19536274805927,1,0,2,0.00980392156862745,0.0,0.9523809523809523,0.9375,1.0772946
35,10,7,3.1818181818181817,4.375,1.25,0.33541763,0.3332255,302.2500324058271,0.0032976088809175824,0.111769706,0.0021921396,1.0065786,0.0,1.0672379081899468,3022.500324058271,0.03308519082718337,0,0,0,0.0,0.0,0.875,0.9090909090909091,1.0834755
78,26,24,2.888888888888889,4.105263157894737,1.04,0.89954686,0.8866777,30.19287969452783,0.03205859830169608,0.79760814,0.012869179,1.014514,0.0,2.5986909336513944,785.0148720577236,0.861130182163477,0,0,0,0.0,0.0,0.8947368421052632,0.8888888888888888,1.062073
120,27,25,4.285714285714286,4.444444444444445,1.0384615384615385,0.91032004,0.8124566,31.768859754668863,0.030516777437076408,0.73959553,0.097863436,1.1204537,0.0,3.9013716152736118,857.7592133760593,0.8498888597200313,1,0,0,0.008264462809917356,0.0,0.9629629629629629,0.8571428571428571,1.0759624
51,14,12,3.4,4.25,1.0769230769230769,0.64756334,0.69261813,67.33550830752729,0.014633680567644919,0.4485141,0.045054793,0.93495,0.0,2.201715350151062,942.6971163053821,0.20791407609164556,0,0,0,0.0,0.0,0.9166666666666666,0.9333333333333333,1.081708
55,21,19,2.5,4.230769230769231,1.05,0.43983752,0.34420437,42.01608858924354,0.023247115969768965,0.151394,0.09563315,1.2778382,0.0,1.0995937883853912,882.3378603741143,0.4998085423967353,0,0,0,0.0,0.0,0.7692307692307693,0.9545454545454546,1.0673703
39,16,11,2.2941176470588234,3.5454545454545454,1.3333333333333333,0.7897512,0.8156036,69.75611804543088,0.014133053474724587,0.6441239,0.025852442,0.96830267,0.09375,1.8117821006213917,1116.097888726894,0.22937056198118405,0,1,2,0.0,0.058823529411764705,0.9090909090909091,0.9411764705882353,1.0637828
50,15,14,3.125,4.545454545454546,1.0,0.6113914,0.5413754,60.82928457508642,0.016173565760502773,0.33099228,0.07001603,1.1293299,0.02631578947368421,1.9105982035398483,912.4392686262963,0.24659175432218655,1,1,0,0.0196078431372549,0.0625,0.8181818181818182,0.875,1.0709838
65,13,11,4.642857142857143,4.333333333333333,1.0833333333333333,0.34572977,0.42517406,55.04573613824211,0.017842570530850116,0.14699534,0.07944429,0.8131488,0.025,1.605173924139568,715.5945697971474,0.2361672476318614,1,1,0,0.015151515151515152,0.07142857142857142,0.9333333333333333,0.9285714285714286,1.0616583
